close,high,low,open,timestamp,volume
38357.40353468,38705.59466564,37217.57273453,37586.0129138,2021-01-14T00:00:00Z,19914859534
37157.5540189,37353.94616299,33705.26339196,34909.23733622,2021-01-13T00:00:00Z,74947237139
34402.31163942,36113.94051017,33029.06784944,35705.71241505,2021-01-12T00:00:00Z,82553686268
35574.17031845,37053.55304939,31896.60889137,37015.19156492,2021-01-11T00:00:00Z,131522548670
38370.35576234,40154.04257449,36869.27439067,40154.04257449,2021-01-10T00:00:00Z,84819936226
40435.98827699,41715.33756652,40435.98827699,41715.33756652,2021-01-09T00:00:00Z,64503957196
40871.32777049,41262.21324189,38442.13379371,39517.89540903,2021-01-08T00:00:00Z,94012173156
39591.29179469,39591.29179469,37071.09960014,37071.09960014,2021-01-07T00:00:00Z,91174784659
36658.72409614,36658.72409614,35204.30888271,35204.30888271,2021-01-06T00:00:00Z,79104300941
33968.49573611,33968.49573611,32195.82543873,32791.85016435,2021-01-05T00:00:00Z,71772866658
32047.03135847,34148.00316412,31764.69252368,34148.00316412,2021-01-04T00:00:00Z,86139541810
33115.86397345,35912.61138791,33115.86397345,35435.25033672,2021-01-03T00:00:00Z,75333998252
32141.09775083,32784.31920861,29626.37912098,29743.71515434,2021-01-02T00:00:00Z,63981288345
29386.50020605,29386.50020605,28910.9943837,28910.9943837,2021-01-01T00:00:00Z,38397666989
29004.58086095,29082.51627363,28195.51783311,28776.27135274,2020-12-31T00:00:00Z,45876949290
28865.87804462,28865.87804462,27597.91569416,27597.91569416,2020-12-30T00:00:00Z,49479121653
27372.15003195,27372.15003195,26528.28453001,27099.71524099,2020-12-29T00:00:00Z,42770397282
27082.38947651,27211.52556253,27082.38947651,27164.70112127,2020-12-28T00:00:00Z,48001048900
26307.70352963,27604.87161005,26307.70352963,27158.93198426,2020-12-27T00:00:00Z,63386055728
26412.8010617,26412.8010617,24809.4300273,24809.4300273,2020-12-26T00:00:00Z,47536793286
24692.92812668,24692.92812668,23720.02736573,23917.06435702,2020-12-25T00:00:00Z,40745576339
23769.31468542,23769.31468542,23589.98249352,23645.17637112,2020-12-24T00:00:00Z,40661805283
23227.19738041,23361.16278977,23103.08591806,23200.36156306,2020-12-23T00:00:00Z,49647672841
23879.10820331,23879.10820331,23120.42675346,23155.60088446,2020-12-22T00:00:00Z,43260592155
22754.13256116,23555.53321705,22333.895405,23130.47982838,2020-12-21T00:00:00Z,44571386599
23494.14813609,23754.61915334,23287.65062684,23515.65027276,2020-12-20T00:00:00Z,37847761250
23817.799691,23817.799691,23185.39435509,23185.39435509,2020-12-19T00:00:00Z,38071057083
23138.72739961,23138.72739961,22744.88007258,22915.1673738,2020-12-18T00:00:00Z,40336150371
22755.25872396,23049.76016473,21367.26850622,21367.26850622,2020-12-17T00:00:00Z,64940471861
21317.03071642,21371.11420965,19852.81205799,19852.81205799,2020-12-16T00:00:00Z,43520432179
19444.0697525,19468.34348278,19284.43163773,19305.28100327,2020-12-15T00:00:00Z,26195999367
19242.02626834,19242.02626834,19137.94031816,19137.94031816,2020-12-14T00:00:00Z,23157283129
19196.19933972,19317.8615741,19149.97813832,19149.97813832,2020-12-13T00:00:00Z,24410380732
18832.35523497,18832.35523497,18369.72429118,18369.72429118,2020-12-12T00:00:00Z,22575325496
18019.6607308,18069.47093367,17790.31311792,18069.47093367,2020-12-11T00:00:00Z,27423941505
18232.95918786,18351.48134665,18089.47157519,18351.48134665,2020-12-10T00:00:00Z,25384279352
18572.29535026,18572.29535026,18190.43973582,18523.85015507,2020-12-09T00:00:00Z,31845738982
18319.87016924,18825.91324787,18312.2913717,18763.2858577,2020-12-08T00:00:00Z,28005845947
19181.47319501,19233.30943452,19094.16725619,19225.33048501,2020-12-07T00:00:00Z,23015576088
19389.72190017,19389.72190017,19208.60864861,19272.72000214,2020-12-06T00:00:00Z,22420038396
19186.67130728,19186.67130728,19134.37513471,19134.37513471,2020-12-05T00:00:00Z,23955161950
18642.01861549,18880.72629645,18603.79089645,18844.2603243,2020-12-04T00:00:00Z,27965579072
19434.97125963,19488.79081475,19348.38654511,19475.5246018,2020-12-03T00:00:00Z,26692418523
19207.91416307,19207.91416307,18720.93530157,18925.17642398,2020-12-02T00:00:00Z,31360802230
18764.95265048,19362.36719122,18610.37278068,19362.36719122,2020-12-01T00:00:00Z,41706831672
19694.16975662,19694.16975662,18728.42790214,18728.42790214,2020-11-30T00:00:00Z,39022007586
18237.16801512,18317.34280548,18237.16801512,18317.34280548,2020-11-29T00:00:00Z,24618502089
17731.87292054,17731.87292054,17391.7181674,17471.86264529,2020-11-28T00:00:00Z,25953930478
17165.18521078,17277.13430078,16834.55740579,17186.15920153,2020-11-27T00:00:00Z,33117336596
17196.57358472,18233.76151703,16751.55596302,18174.43354643,2020-11-26T00:00:00Z,52548735342
18776.9725137,18873.56391303,18748.9598433,18748.9598433,2020-11-25T00:00:00Z,36765294943
19122.69704035,19122.69704035,18374.15089182,18374.15089182,2020-11-24T00:00:00Z,45742278252
18475.13874834,19476.29274814,18475.13874834,19476.29274814,2020-11-23T00:00:00Z,35705923671
18492.61039786,18907.76443207,18492.61039786,18907.76443207,2020-11-22T00:00:00Z,34556544196
18760.4595203,19521.9690556,18760.4595203,19521.9690556,2020-11-21T00:00:00Z,33084945730
18691.04326355,18691.04326355,18551.86236875,18554.97714034,2020-11-20T00:00:00Z,31540590968
17835.22644925,17851.01217079,17638.20695828,17709.55091472,2020-11-19T00:00:00Z,32718522370
17818.10705056,18058.05051258,17563.59415687,17619.29212259,2020-11-18T00:00:00Z,44428779791
17668.55672559,17668.55672559,17027.94184495,17027.94184495,2020-11-17T00:00:00Z,35255964512
16684.16985825,16684.16985825,16147.43912202,16147.43912202,2020-11-16T00:00:00Z,26836281460
15947.07928552,15954.57843498,15803.5195405,15803.5195405,2020-11-15T00:00:00Z,20072611027
16080.81436067,16080.81436067,15937.59521855,16030.67396492,2020-11-14T00:00:00Z,23280561616
16328.50379239,16541.85011723,16328.50379239,16541.85011723,2020-11-13T00:00:00Z,26607381300
16283.445459,16283.445459,15699.61326615,15699.61326615,2020-11-12T00:00:00Z,30260918995
15723.88150034,15723.88150034,15564.07725974,15564.07725974,2020-11-11T00:00:00Z,24710929429
15334.64904587,15445.87732818,15334.64904587,15445.87732818,2020-11-10T00:00:00Z,23947216380
15353.06687988,15515.76715517,15099.53634464,15331.66493342,2020-11-09T00:00:00Z,30435908097
15463.27001893,15463.27001893,15225.81040542,15225.81040542,2020-11-08T00:00:00Z,26836028298
14843.04273717,15291.61251783,14744.05895196,15291.61251783,2020-11-07T00:00:00Z,31687931644
15663.41495661,16292.84655172,15663.41495661,16292.84655172,2020-11-06T00:00:00Z,38531051299
15515.46870376,15515.46870376,14401.97727429,14401.97727429,2020-11-05T00:00:00Z,39333749813
14212.30447566,14271.56494354,14070.24104394,14271.56494354,2020-11-04T00:00:00Z,26732673111
13992.29381051,13992.29381051,13637.19039411,13637.19039411,2020-11-03T00:00:00Z,23593178009
13559.40919783,13571.23109734,13455.62828819,13571.23109734,2020-11-02T00:00:00Z,22573305735
13824.38718551,14028.78173964,13824.38718551,14028.78173964,2020-11-01T00:00:00Z,19737585645
13797.56405759,13839.29836775,13641.64625629,13641.64625629,2020-10-31T00:00:00Z,22474843558
13576.40110733,13576.40110733,13338.75694432,13338.75694432,2020-10-30T00:00:00Z,26463220293
13463.34090068,13463.34090068,13245.30368993,13267.18022492,2020-10-29T00:00:00Z,23506306197
13290.99906142,13485.96392406,13172.74937394,13428.88364771,2020-10-28T00:00:00Z,26810114631
13651.81551309,13651.81551309,13203.30820207,13203.30820207,2020-10-27T00:00:00Z,25402513013
13068.36625381,13068.36625381,12809.73719864,12809.73719864,2020-10-26T00:00:00Z,21064760898
13027.70550165,13050.63175558,12985.6345315,12998.02500259,2020-10-25T00:00:00Z,19003673170
13110.7581602,13110.7581602,12979.75222294,12979.75222294,2020-10-24T00:00:00Z,18546679436
12916.93220045,12916.93220045,12858.14836041,12890.83337707,2020-10-23T00:00:00Z,21104417668
12979.28934652,13171.72079647,12979.28934652,13171.72079647,2020-10-22T00:00:00Z,26547015370
